Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
12701,Mooneba,Poor,,,,,,,
12702,Moonee,Poor,,,,,,,
12703,Moonee Beach,Good,,,,,,,
12704,Mooney Mooney,Acceptable,,,,,,,
12705,Mooney Mooney Creek,Poor,,,,,,,
12706,Moonpar,Poor,,,,,,,
12707,Mooral Creek,Poor,,,,,,,
12708,Moorara,Poor,,,,,,,
12709,Moorbel,Acceptable,,,,,,,
12710,Moore Creek,Good,,,,,,,
12711,Moore Park,Good,,,,,,,
12712,Moorebank,Good,,,,,,,
12713,Moorilda,Poor,,,,,,,
12714,Moorland (NSW),Good,,,,,,,
12715,Moorong,Good,,,,,,,
12716,Moorwatha,Poor,,,,,,,
12717,Moparrabah,Poor,,,,,,,
12718,Moppy,Poor,,,,,,,
12719,Morago,Poor,,,,,,,
12720,Morangarell,Poor,,,,,,,
12721,Morans Crossing,Poor,,,,,,,
12722,Moree,Good,,,,,,,
12723,Morisset,Good,,,,,,,
12724,Morisset Park,Good,,,,,,,
12725,Morning Bay,Poor,,,,,,,
12726,Mororo,Poor,,,,,,,
12727,Morpeth,Good,,,,,,,
12728,Mortdale,Good,,,,,,,
12729,Mortlake (NSW),Good,,,,,,,
12730,Morton,Acceptable,,,,,,,
12731,Mortons Creek,Poor,,,,,,,
12732,Morts Estate,Good,,,,,,,
12733,Morundah,Poor,,,,,,,
12734,Moruya,Good,,,,,,,
12735,Moruya Heads,Good,,,,,,,
12736,Morven (Glen Innes Severn - NSW),Poor,,,,,,,
12737,Morven (Greater Hume Shire - NSW),Poor,,,,,,,
12738,Mosman,Good,,,,,,,
12739,Moss Vale,Good,,,,,,,
12740,Mossgiel,Poor,,,,,,,
12741,Mossy Point,Good,,,,,,,
12742,Moto,Poor,,,,,,,
12743,Moulamein,Acceptable,,,,,,,
12744,Mount Adrah,Poor,,,,,,,
12745,Mount Annan,Good,,,,,,,
12746,Mount Aquila,Poor,,,,,,,
12747,Mount Arthur,Poor,,,,,,,
12748,Mount Austin,Good,,,,,,,
12749,Mount Burrell,Poor,,,,,,,
12750,Mount Colah,Good,,,,,,,
12751,Mount Collins,Poor,,,,,,,
12752,Mount Cooper (NSW),Poor,,,,,,,
12753,Mount Darragh,Poor,,,,,,,
12754,Mount David,Poor,,,,,,,
12755,Mount Dee,Poor,,,,,,,
12756,Mount Druitt,Good,,,,,,,
12757,Mount Elliot (NSW),Acceptable,,,,,,,
12758,Mount Fairy,Good,,,,,,,
12759,Mount Foster,Poor,,,,,,,
12760,Mount Frome,Poor,,,,,,,
12761,Mount George (NSW),Good,,,,,,,
12762,Mount Harris,Poor,,,,,,,
12763,Mount Hope (NSW),Poor,,,,,,,
12764,Mount Horeb,Poor,,,,,,,
12765,Mount Hunter,Acceptable,,,,,,,
12766,Mount Hutton (NSW),Good,,,,,,,
12767,Mount Irvine,Poor,,,,,,,
12768,Mount Keira,Good,,,,,,,
12769,Mount Kembla,Good,,,,,,,
12770,Mount Kingiman,Poor,,,,,,,
12771,Mount Knowles,Poor,,,,,,,
12772,Mount Kuring-Gai,Good,,,,,,,
12773,Mount Lambie,Poor,,,,,,,
12774,Mount Lewis,Good,,,,,,,
12775,Mount Lindsey,Poor,,,,,,,
12776,Mount Marsden,Poor,,,,,,,
12777,Mount Marsh,Poor,,,,,,,
12778,Mount Mitchell,Poor,,,,,,,
12779,Mount Murray,Poor,,,,,,,
12780,Mount Olive (Oberon - NSW),Poor,,,,,,,
12781,Mount Olive (Singleton - NSW),Poor,,,,,,,
12782,Mount Ousley,Good,,,,,,,
12783,Mount Panorama,Poor,,,,,,,
12784,Mount Pleasant (NSW),Good,,,,,,,
12785,Mount Pritchard,Good,,,,,,,
12786,Mount Rankin,Good,,,,,,,
12787,Mount Rivers,Poor,,,,,,,
12788,Mount Riverview,Good,,,,,,,
12789,Mount Royal,Poor,,,,,,,
12790,Mount Russell,Poor,,,,,,,
12791,Mount Saint Thomas,Good,,,,,,,
12792,Mount Seaview,Poor,,,,,,,
12793,Mount Tenandra,Poor,,,,,,,
12794,Mount Thorley,Poor,,,,,,,
12795,Mount Tomah,Poor,,,,,,,
12796,Mount Vernon,Good,,,,,,,
12797,Mount Victoria,Good,,,,,,,
12798,Mount View,Poor,,,,,,,
12799,Mount Vincent,Poor,,,,,,,
12800,Mount Warning,Poor,,,,,,,
12801,Mount Warrigal,Good,,,,,,,
12802,Mount Werong,Poor,,,,,,,
12803,Mount White,Poor,,,,,,,
12804,Mount Wilson,Poor,,,,,,,
12805,Mountain Creek (NSW),Poor,,,,,,,
12806,Mountain Lagoon,Poor,,,,,,,
12807,Mountain Top,Poor,,,,,,,
12808,Mountain View (NSW),Good,,,,,,,
12809,Mourquong,Poor,,,,,,,
12810,Mowbray Park,Poor,,,,,,,
12811,Mozart,Poor,,,,,,,
12812,Mudgee,Good,,,,,,,
12813,Mulbring,Poor,,,,,,,
12814,Mulgoa,Good,,,,,,,
12815,Mulgrave (NSW),Poor,,,,,,,
12816,Mulguthrie,Poor,,,,,,,
12817,Muli Muli,Good,,,,,,,
12818,Mulla,Poor,,,,,,,
12819,Mulla Creek,Poor,,,,,,,
12820,Mullaley,Poor,,,,,,,
12821,Mullamuddy,Poor,,,,,,,
12822,Mullaway,Good,,,,,,,
12823,Mullengandra,Poor,,,,,,,
12824,Mullengudgery,Poor,,,,,,,
12825,Mullion,Poor,,,,,,,
12826,Mullion Creek,Good,,,,,,,
12827,Mulloon,Good,,,,,,,
12828,Mullumbimby,Good,,,,,,,
12829,Mullumbimby Creek,Poor,,,,,,,
12830,Mulwala,Good,,,,,,,
12831,Mulyandry,Poor,,,,,,,
12832,Mumbil,Acceptable,,,,,,,
12833,Mumblebone Plain,Poor,,,,,,,
12834,Mumbulla Mountain,Poor,,,,,,,
12835,Mummel,Poor,,,,,,,
12836,Mummulgum,Poor,,,,,,,
12837,Mundamia,Acceptable,,,,,,,
12838,Mundarlo,Poor,,,,,,,
12839,Munderoo,Poor,,,,,,,
12840,Mundongo,Good,,,,,,,
12841,Mungay Creek,Poor,,,,,,,
12842,Munghorn,Poor,,,,,,,
12843,Mungindi (NSW),Acceptable,,,,,,,
12844,Mungo,Poor,,,,,,,
12845,Mungo Brush,Poor,,,,,,,
12846,Munni,Poor,,,,,,,
12847,Munyabla,Poor,,,,,,,
12848,Murga,Poor,,,,,,,
12849,Murrah,Poor,,,,,,,
12850,Murrami,Good,,,,,,,
12851,Murrawombie,Poor,,,,,,,
12852,Murray Downs,Poor,,,,,,,
12853,Murray Gorge,Poor,,,,,,,
12854,Murrays Beach,Poor,,,,,,,
12855,Murrays Run,Poor,,,,,,,
12856,Murrengenburg,Poor,,,,,,,
12857,Murrin Bridge,Good,,,,,,,
12858,Murringo,Good,,,,,,,
12859,Murrulebale,Poor,,,,,,,
12860,Murrumbateman,Good,,,,,,,
12861,Murrumbo,Poor,,,,,,,
12862,Murrumbucca,Poor,,,,,,,
12863,Murrumburrah,Poor,,,,,,,
12864,Murrurundi,Good,,,,,,,
12865,Murulla,Poor,,,,,,,
12866,Murwillumbah,Good,,,,,,,
12867,Muscle Creek,Poor,,,,,,,
12868,Muswellbrook,Good,,,,,,,
12869,Mutawintji,Poor,,,,,,,
12870,Muttama,Poor,,,,,,,
12871,Myall Creek,Poor,,,,,,,
12872,Myall Lake,Poor,,,,,,,
12873,Myall Park (NSW),Poor,,,,,,,
12874,Myalla (NSW),Poor,,,,,,,
12875,Mylestom,Good,,,,,,,
12876,Mylneford,Poor,,,,,,,
12877,Myocum,Good,,,,,,,
12878,Myola (NSW),Good,,,,,,,
12879,Myrtle Creek (NSW),Poor,,,,,,,
12880,Myrtle Mountain,Poor,,,,,,,
12881,Myrtle Park,Poor,,,,,,,
12882,Myrtleville,Poor,,,,,,,
12883,Mystery Bay,Poor,,,,,,,
12884,Myuna Bay,Poor,,,,,,,
12885,Nabiac,Acceptable,,,,,,,
12886,Nadgee,Poor,,,,,,,
12887,Nambucca Heads,Good,,,,,,,
12888,Namoi River,Poor,,,,,,,
12889,Nana Glen,Good,,,,,,,
12890,Nangus,Poor,,,,,,,
12891,Nanima,Good,,,,,,,
12892,Napier Lane,Poor,,,,,,,
12893,Napoleon Reef,Poor,,,,,,,
12894,Naradhan,Poor,,,,,,,
12895,Narara,Good,,,,,,,
12896,Narellan,Good,,,,,,,
12897,Narellan Vale,Good,,,,,,,
12898,Naremburn,Good,,,,,,,
12899,Narone Creek,Poor,,,,,,,
12900,Narooma,Good,,,,,,,
12901,Narrabarba,Poor,,,,,,,
12902,Narrabeen,Good,,,,,,,
12903,Narrabri,Good,,,,,,,
12904,Narraburra,Poor,,,,,,,
12905,Narran Lake,Poor,,,,,,,
12906,Narrandera,Good,,,,,,,
12907,Narrangullen,Poor,,,,,,,
12908,Narrawa,Poor,,,,,,,
12909,Narrawallee,Good,,,,,,,
12910,Narraweena,Good,,,,,,,
12911,Narromine,Good,,,,,,,
12912,Narwee,Good,,,,,,,
12913,Nashdale,Good,,,,,,,
12914,Nashua,Good,,,,,,,
12915,Nattai,Poor,,,,,,,
12916,Naughtons Gap,Poor,,,,,,,
12917,Neath,Good,,,,,,,
12918,Nebea,Poor,,,,,,,
12919,Neilrex,Poor,,,,,,,
12920,Nelligen,Acceptable,,,,,,,
12921,Nelson (Bega Valley - NSW),Poor,,,,,,,
12922,Nelson (The Hills Shire - NSW),Good,,,,,,,
12923,Nelson Bay (NSW),Good,,,,,,,
12924,Nelsons Plains,Good,,,,,,,
12925,Nelungaloo,Poor,,,,,,,
12926,Nemingha,Good,,,,,,,
12927,Nericon,Good,,,,,,,
12928,Neringla,Poor,,,,,,,
12929,Nerong,Poor,,,,,,,
12930,Nerriga,Poor,,,,,,,
12931,Nerrigundah,Poor,,,,,,,
12932,Nethercote,Good,,,,,,,
12933,Neurea,Poor,,,,,,,
12934,Neutral Bay,Good,,,,,,,
12935,Never Never,Poor,,,,,,,
12936,Nevertire,Acceptable,,,,,,,
12937,Neville,Good,,,,,,,
12938,New Berrima,Good,,,,,,,
12939,New Brighton,Good,,,,,,,
12940,New Buildings,Poor,,,,,,,
12941,New Italy,Poor,,,,,,,
12942,New Lambton,Good,,,,,,,
12943,New Lambton Heights,Poor,,,,,,,
12944,New Mexico,Poor,,,,,,,
12945,New Park,Poor,,,,,,,
12946,New Valley,Poor,,,,,,,
12947,Newbold,Poor,,,,,,,
12948,Newbridge (NSW),Good,,,,,,,
12949,Newcastle,Good,,,,,,,
12950,Newcastle East,Good,,,,,,,
12951,Newcastle West,Good,,,,,,,
12952,Newee Creek,Good,,,,,,,
12953,Newington (NSW),Good,,,,,,,
12954,Newnes,Poor,,,,,,,
12955,Newnes Plateau,Poor,,,,,,,
12956,Newport (NSW),Good,,,,,,,
12957,Newrybar,Good,,,,,,,
12958,Newstead (NSW),Poor,,,,,,,
12959,Newton Boyd,Poor,,,,,,,
12960,Newtown (NSW),Good,,,,,,,
12961,Niagara Park,Good,,,,,,,
12962,Niangala,Good,,,,,,,
12963,Niemur,Poor,,,,,,,
12964,Nightcap,Poor,,,,,,,
12965,Nimbin,Acceptable,,,,,,,
12966,Nimmitabel,Acceptable,,,,,,,
12967,Nimmo,Poor,,,,,,,
12968,Nobbys Creek,Good,,,,,,,
12969,Nombi,Poor,,,,,,,
12970,Noona,Poor,,,,,,,
12971,Noorong,Poor,,,,,,,
12972,Nooroo,Poor,,,,,,,
12973,Norah Head,Good,,,,,,,
12974,Noraville,Good,,,,,,,
12975,Nords Wharf,Good,,,,,,,
12976,Normanhurst,Good,,,,,,,
12977,North Albury,Good,,,,,,,
12978,North Arm (NSW),Poor,,,,,,,
12979,North Arm Cove,Acceptable,,,,,,,
12980,North Avoca,Good,,,,,,,
12981,North Balgowlah,Good,,,,,,,
12982,North Batemans Bay,Good,,,,,,,
12983,North Boambee Valley,Good,,,,,,,
12984,North Bondi,Good,,,,,,,
12985,North Bourke,Poor,,,,,,,
12986,North Brother,Poor,,,,,,,
12987,North Casino,Acceptable,,,,,,,
12988,North Curl Curl,Good,,,,,,,
12989,North Dorrigo,Poor,,,,,,,
12990,North Epping,Good,,,,,,,
12991,North Gosford,Good,,,,,,,
12992,North Haven (NSW),Good,,,,,,,
12993,North Lambton,Good,,,,,,,
12994,North Lismore,Good,,,,,,,
12995,North Macksville,Good,,,,,,,
12996,North Macquarie,Poor,,,,,,,
12997,North Manly,Good,,,,,,,
12998,North Narooma,Good,,,,,,,
12999,North Narrabeen,Good,,,,,,,
13000,North Nowra,Good,,,,,,,
13001,North Parramatta,Good,,,,,,,
13002,North Richmond,Good,,,,,,,
13003,North Rocks,Good,,,,,,,
13004,North Rothbury,Acceptable,,,,,,,
13005,North Ryde,Good,,,,,,,
13006,North Shore (NSW),Good,,,,,,,
13007,North St Marys,Good,,,,,,,
13008,North Star,Poor,,,,,,,
13009,North Strathfield,Good,,,,,,,
13010,North Sydney,Good,,,,,,,
13011,North Tamworth,Good,,,,,,,
13012,North Tumbulgum,Acceptable,,,,,,,
13013,North Turramurra,Good,,,,,,,
13014,North Wagga Wagga,Good,,,,,,,
13015,North Wahroonga,Good,,,,,,,
13016,North Willoughby,Good,,,,,,,
13017,North Wollongong,Good,,,,,,,
13018,North Woodburn,Poor,,,,,,,
13019,North Yalgogrin,Poor,,,,,,,
13020,North Yeoval,Good,,,,,,,
13021,Northangera,Poor,,,,,,,
13022,Northbridge (NSW),Good,,,,,,,
13023,Northmead,Good,,,,,,,
13024,Northwood (NSW),Good,,,,,,,
13025,Norway,Poor,,,,,,,
13026,Nowendoc,Good,,,,,,,
13027,Nowley,Poor,,,,,,,
13028,Nowra,Good,,,,,,,
13029,Nowra Hill,Good,,,,,,,
13030,Nubba,Poor,,,,,,,
13031,Nulkaba,Acceptable,,,,,,,
13032,Nullamanna,Poor,,,,,,,
13033,Nullica,Poor,,,,,,,
13034,Nullo Mountain,Poor,,,,,,,
13035,Numbaa,Poor,,,,,,,
13036,Number One,Poor,,,,,,,
13037,Numbla Vale,Poor,,,,,,,
13038,Numbugga,Poor,,,,,,,
13039,Numeralla,Poor,,,,,,,
13040,Numinbah,Poor,,,,,,,
13041,Numulgi,Poor,,,,,,,
13042,Nunderi,Good,,,,,,,
13043,Nundle,Acceptable,,,,,,,
13044,Nungatta,Good,,,,,,,
13045,Nungatta South,Poor,,,,,,,
13046,Nurenmerenmong,Poor,,,,,,,
13047,Nymagee,Poor,,,,,,,
13048,Nymboida,Good,,,,,,,
13049,Nyngan,Good,,,,,,,
13050,Nyora (NSW),Poor,,,,,,,
13051,Nyrang Creek,Poor,,,,,,,
13052,O'Connell (NSW),Poor,,,,,,,
13053,Oak Flats,Good,,,,,,,
13054,Oakdale (NSW),Good,,,,,,,
13055,Oakey Park,Good,,,,,,,
13056,Oakhampton,Poor,,,,,,,
13057,Oakhampton Heights,Poor,,,,,,,
13058,Oakhurst (NSW),Good,,,,,,,
13059,Oaklands,Poor,,,,,,,
13060,Oakville,Good,,,,,,,
13061,Oakwood (NSW),Poor,,,,,,,
13062,Oallen,Poor,,,,,,,
13063,Oatlands (NSW),Good,,,,,,,
13064,Oatley,Good,,,,,,,
13065,Oban,Poor,,,,,,,
13066,Obanvale,Poor,,,,,,,
13067,Oberne Creek,Poor,,,,,,,
13068,Oberon,Good,,,,,,,
13069,Obley,Poor,,,,,,,
13070,Ocean Shores,Good,,,,,,,
13071,Ogunbil,Poor,,,,,,,
13072,Old Adaminaby,Poor,,,,,,,
13073,Old Bar,Good,,,,,,,
13074,Old Bonalbo,Poor,,,,,,,
13075,Old Erowal Bay,Good,,,,,,,
13076,Old Grevillia,Poor,,,,,,,
13077,Old Guildford,Good,,,,,,,
13078,Old Junee,Poor,,,,,,,
13079,Old Mill,Poor,,,,,,,
13080,Old Station,Poor,,,,,,,
13081,Old Toongabbie,Acceptable,,,,,,,
13082,Olinda (NSW),Poor,,,,,,,
13083,Olney,Poor,,,,,,,
13084,Omadale,Poor,,,,,,,
13085,One Mile (NSW),Acceptable,,,,,,,
13086,One Tree,Poor,,,,,,,
13087,Oolong,Poor,,,,,,,
13088,Ooma,Poor,,,,,,,
13089,Ootha,Poor,,,,,,,
13090,Ophir,Poor,,,,,,,
13091,Oran Park,Poor,,,,,,,
13092,Orange,Good,,,,,,,
13093,Orange Grove (NSW),Poor,,,,,,,
13094,Orangeville,Good,,,,,,,
13095,Orchard Hills,Good,,,,,,,
13096,Orient Point,Good,,,,,,,
13097,Orton Park,Poor,,,,,,,
13098,Osborne (NSW),Poor,,,,,,,
13099,Osterley (NSW),Poor,,,,,,,
13100,Oswald,Poor,,,,,,,
13101,Otford,Good,,,,,,,
13102,Oura,Poor,,,,,,,
13103,Ourimbah,Good,,,,,,,
13104,Ournie,Poor,,,,,,,
13105,Owens Gap,Poor,,,,,,,
13106,Oxford Falls,Poor,,,,,,,
13107,Oxley (Balranald - NSW),Poor,,,,,,,
13108,Oxley (Warren - NSW),Poor,,,,,,,
13109,Oxley Island,Good,,,,,,,
13110,Oxley Park,Good,,,,,,,
13111,Oxley Vale,Good,,,,,,,
13112,Oyster Bay,Good,,,,,,,
13113,Oyster Cove (NSW),Poor,,,,,,,
13114,Packsaddle,Poor,,,,,,,
13115,Paddington (NSW),Good,,,,,,,
13116,Paddys Flat (Kyogle - NSW),Poor,,,,,,,
13117,Paddys Flat (Snowy Monaro Regional - NSW),Poor,,,,,,,
13118,Paddys River (Snowy Valleys - NSW),Poor,,,,,,,
13119,Paddys River (Wingecarribee - NSW),Poor,,,,,,,
13120,Padstow,Good,,,,,,,
13121,Padstow Heights,Good,,,,,,,
13122,Pagans Flat,Poor,,,,,,,
13123,Pages Creek,Poor,,,,,,,
13124,Pages River,Poor,,,,,,,
13125,Pagewood,Good,,,,,,,
13126,Palarang,Poor,,,,,,,
13127,Palerang,Poor,,,,,,,
13128,Paling Yards (Bathurst Regional - NSW),Poor,,,,,,,
13129,Paling Yards (Oberon - NSW),Poor,,,,,,,
13130,Pallal,Poor,,,,,,,
13131,Pallamallawa,Acceptable,,,,,,,
13132,Palm Beach (NSW),Good,,,,,,,
13133,Palm Grove (NSW),Poor,,,,,,,
13134,Palmdale (NSW),Poor,,,,,,,
13135,Palmers Channel,Poor,,,,,,,
13136,Palmers Island,Good,,,,,,,
13137,Palmers Oaky,Poor,,,,,,,
13138,Palmvale,Poor,,,,,,,
13139,Palmwoods (NSW),Poor,,,,,,,
13140,Pambula,Good,,,,,,,
13141,Pambula Beach,Good,,,,,,,
13142,Pampoolah,Good,,,,,,,
13143,Pan Ban,Poor,,,,,,,
13144,Panania,Good,,,,,,,
13145,Pangee,Poor,,,,,,,
13146,Panuara,Poor,,,,,,,
13147,Pappinbarra,Poor,,,,,,,
13148,Para,Poor,,,,,,,
13149,Paradise (NSW),Poor,,,,,,,
13150,Paringi,Poor,,,,,,,
13151,Parkes (NSW),Good,,,,,,,
13152,Parkesbourne,Poor,,,,,,,
13153,Parklea,Acceptable,,,,,,,
13154,Parkville (NSW),Acceptable,,,,,,,
13155,Parma,Poor,,,,,,,
13156,Parramatta,Good,,,,,,,
13157,Parraweena,Poor,,,,,,,
13158,Patchs Beach,Poor,,,,,,,
13159,Paterson (NSW),Good,,,,,,,
13160,Patonga,Good,,,,,,,
13161,Paupong,Poor,,,,,,,
13162,Paxton,Good,,,,,,,
13163,Paynes Crossing,Poor,,,,,,,
13164,Paytens Bridge,Poor,,,,,,,
13165,Peacock Creek,Poor,,,,,,,
13166,Peak Hill (NSW),Good,,,,,,,
13167,Peak View,Poor,,,,,,,
13168,Peakhurst,Good,,,,,,,
13169,Peakhurst Heights,Good,,,,,,,
13170,Pearces Creek,Poor,,,,,,,
13171,Pearl Beach,Good,,,,,,,
13172,Peats Ridge,Good,,,,,,,
13173,Pebbly Beach,Poor,,,,,,,
13174,Peel,Poor,,,,,,,
13175,Peelwood,Poor,,,,,,,
13176,Pejar,Poor,,,,,,,
13177,Pelaw Main,Good,,,,,,,
13178,Pelican (NSW),Good,,,,,,,
13179,Pelton,Poor,,,,,,,
13180,Pembrooke,Good,,,,,,,
13181,Pemulwuy,Good,,,,,,,
13182,Pendle Hill,Good,,,,,,,
13183,Pennant Hills,Good,,,,,,,
13184,Penrith,Good,,,,,,,
13185,Penrose,Good,,,,,,,
13186,Penshurst (NSW),Good,,,,,,,
13187,Pericoe,Poor,,,,,,,
13188,Perrys Crossing,Poor,,,,,,,
13189,Perthville,Acceptable,,,,,,,
13190,Petersham,Good,,,,,,,
13191,Pheasants Nest,Good,,,,,,,
13192,Phegans Bay,Good,,,,,,,
13193,Phillip Bay,Good,,,,,,,
13194,Phoenix Park,Poor,,,,,,,
13195,Piallamore,Good,,,,,,,
13196,Piallaway,Poor,,,,,,,
13197,Piambong,Poor,,,,,,,
13198,Picketts Valley,Poor,,,,,,,
13199,Picnic Point,Good,,,,,,,
13200,Picton (NSW),Good,,,,,,,
13201,Pigeonbah,Poor,,,,,,,
13202,Piggabeen,Acceptable,,,,,,,
13203,Pikapene,Poor,,,,,,,
13204,Pillar Valley,Good,,,,,,,
13205,Pilliga,Poor,,,,,,,
13206,Pilot Wilderness,Poor,,,,,,,
13207,Pimlico (NSW),Poor,,,,,,,
13208,Pimlico Island,Poor,,,,,,,
13209,Pinbeyan,Poor,,,,,,,
13210,Pindaroi,Poor,,,,,,,
13211,Pindimar,Acceptable,,,,,,,
13212,Pine Camp,Poor,,,,,,,
13213,Pine Clump,Poor,,,,,,,
13214,Pine Grove (NSW),Poor,,,,,,,
13215,Pine Lodge (NSW),Poor,,,,,,,
13216,Pine Ridge,Poor,,,,,,,
13217,Pine Valley,Poor,,,,,,,
13218,Piney Range,Poor,,,,,,,
13219,Pinkett,Poor,,,,,,,
13220,Pinnacle (NSW),Poor,,,,,,,
13221,Pinnacle Swamp,Poor,,,,,,,
13222,Pinny Beach,Poor,,,,,,,
13223,Piora,Poor,,,,,,,
13224,Pipeclay,Poor,,,,,,,
13225,Pitnacree,Acceptable,,,,,,,
13226,Pitt Town,Acceptable,,,,,,,
13227,Pitt Town Bottoms,Poor,,,,,,,
13228,Pleasant Hills,Poor,,,,,,,
13229,Pleasure Point,Good,,,,,,,
13230,Plumpton (NSW),Good,,,,,,,
13231,Point Clare,Good,,,,,,,
13232,Point Frederick,Good,,,,,,,
13233,Point Piper,Good,,,,,,,
13234,Point Wolstoncroft,Good,,,,,,,
13235,Pointer Mountain,Poor,,,,,,,
13236,Pokolbin,Poor,,,,,,,
13237,Pola Creek,Poor,,,,,,,
13238,Polo Flat,Good,,,,,,,
13239,Pomeroy,Poor,,,,,,,
13240,Pomona (NSW),Good,,,,,,,
13241,Ponto,Poor,,,,,,,
13242,Pooncarie,Poor,,,,,,,
13243,Port Botany,Poor,,,,,,,
13244,Port Hacking,Good,,,,,,,
13245,Port Kembla,Good,,,,,,,
13246,Port Macquarie,Good,,,,,,,
13247,Port Stephens,Poor,,,,,,,
13248,Porters Creek,Poor,,,,,,,
13249,Porters Retreat,Poor,,,,,,,
13250,Portland (NSW),Good,,,,,,,
13251,Possum Brush,Poor,,,,,,,
13252,Possum Creek,Acceptable,,,,,,,
13253,Potato Point,Poor,,,,,,,
13254,Pottery Estate,Poor,,,,,,,
13255,Potts Hill,Poor,,,,,,,
13256,Potts Point,Good,,,,,,,
13257,Pottsville,Good,,,,,,,
13258,Prairiewood,Good,,,,,,,
13259,Premer,Poor,,,,,,,
13260,Prestons,Good,,,,,,,
13261,Pretty Beach (Central Coast - NSW),Poor,,,,,,,
13262,Pretty Beach (Shoalhaven - NSW),Poor,,,,,,,
13263,Pretty Pine,Poor,,,,,,,
13264,Primbee,Good,,,,,,,
13265,Primrose Valley,Poor,,,,,,,
13266,Prospect (NSW),Good,,,,,,,
13267,Pucawan,Poor,,,,,,,
13268,Puddledock,Poor,,,,,,,
13269,Pulganbar,Poor,,,,,,,
13270,Pullabooka,Poor,,,,,,,
13271,Pulletop,Poor,,,,,,,
13272,Pumpenbil,Poor,,,,,,,
13273,Punchbowl (Canterbury-Bankstown - NSW),Good,,,,,,,
13274,Punchbowl (Clarence Valley - NSW),Poor,,,,,,,
13275,Purfleet,Good,,,,,,,
13276,Purlewaugh,Poor,,,,,,,
13277,Putney,Good,,,,,,,
13278,Putta Bucca,Poor,,,,,,,
13279,Putty,Poor,,,,,,,
13280,Pyangle,Poor,,,,,,,
13281,Pymble,Good,,,,,,,
13282,Pyramul,Poor,,,,,,,
13283,Pyree,Poor,,,,,,,
13284,Pyrmont,Good,,,,,,,
13285,Quaama,Poor,,,,,,,
13286,Quakers Hill,Good,,,,,,,
13287,Quambone,Acceptable,,,,,,,
13288,Quanda,Poor,,,,,,,
13289,Quandary,Poor,,,,,,,
13290,Quandialla,Poor,,,,,,,
13291,Queanbeyan,Good,,,,,,,
13292,Queanbeyan East,Good,,,,,,,
13293,Queanbeyan West,Good,,,,,,,
13294,Queens Park (NSW),Good,,,,,,,
13295,Queens Pinch,Poor,,,,,,,
13296,Queenscliff (NSW),Good,,,,,,,
13297,Quialigo,Poor,,,,,,,
13298,Quidong,Poor,,,,,,,
13299,Quiera,Poor,,,,,,,
13300,Quipolly,Poor,,,,,,,
13301,Quirindi,Good,,,,,,,
13302,Quorrobolong,Poor,,,,,,,
13303,Raby,Good,,,,,,,
13304,Raglan (NSW),Good,,,,,,,
13305,Rainbow Flat,Good,,,,,,,
13306,Rainbow Reach,Poor,,,,,,,
13307,Raleigh,Good,,,,,,,
13308,Ramornie,Poor,,,,,,,
13309,Ramsgate,Acceptable,,,,,,,
13310,Ramsgate Beach,Good,,,,,,,
13311,Rand,Poor,,,,,,,
13312,Randwick,Good,,,,,,,
13313,Rangari,Poor,,,,,,,
13314,Rangers Valley,Poor,,,,,,,
13315,Rankin Park,Good,,,,,,,
13316,Rankins Springs,Poor,,,,,,,
13317,Rannock,Poor,,,,,,,
13318,Rappville,Poor,,,,,,,
13319,Rathmines,Good,,,,,,,
13320,Ravensdale,Poor,,,,,,,
13321,Ravenswood (NSW),Good,,,,,,,
13322,Ravensworth (NSW),Poor,,,,,,,
13323,Rawdon Island,Poor,,,,,,,
13324,Rawdon Vale,Poor,,,,,,,
13325,Raworth,Good,,,,,,,
13326,Rawsonville,Poor,,,,,,,
13327,Raymond Terrace,Good,,,,,,,
13328,Razorback,Good,,,,,,,
13329,Red Head,Good,,,,,,,
13330,Red Hill (Snowy Valleys - NSW),Poor,,,,,,,
13331,Red Hill (Tamworth Regional - NSW),Poor,,,,,,,
13332,Red Hill (Warren - NSW),Poor,,,,,,,
13333,Red Range,Poor,,,,,,,
13334,Red Rock,Acceptable,,,,,,,
13335,Red Rocks,Poor,,,,,,,
13336,Redbank (NSW),Good,,,,,,,
13337,Redbournberry,Poor,,,,,,,
13338,Reddestone,Poor,,,,,,,
13339,Redfern,Good,,,,,,,
13340,Redhead,Good,,,,,,,
13341,Redlands,Poor,,,,,,,
13342,Reedy Creek (NSW),Poor,,,,,,,
13343,Reedy Swamp,Poor,,,,,,,
13344,Reefton (NSW),Poor,,,,,,,
13345,Regents Park (NSW),Good,,,,,,,
13346,Regentville,Acceptable,,,,,,,
13347,Reids Flat,Poor,,,,,,,
13348,Reidsdale,Poor,,,,,,,
13349,Rennie,Poor,,,,,,,
13350,Renwick,Poor,,,,,,,
13351,Repentance Creek,Poor,,,,,,,
13352,Repton,Good,,,,,,,
13353,Reserve Creek,Poor,,,,,,,
13354,Retreat (NSW),Poor,,,,,,,
13355,Revesby,Good,,,,,,,
13356,Revesby Heights,Good,,,,,,,
13357,Rhine Falls,Poor,,,,,,,
