Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
10144,Balala,Poor,,,,,,,
10145,Balcolyn,Good,,,,,,,
10146,Bald Blair,Poor,,,,,,,
10147,Bald Hills (NSW),Good,,,,,,,
10148,Bald Nob,Poor,,,,,,,
10149,Bald Ridge,Poor,,,,,,,
10150,Baldersleigh,Poor,,,,,,,
10151,Baldry,Poor,,,,,,,
10152,Balfours Peak,Poor,,,,,,,
10153,Balgowlah,Good,,,,,,,
10154,Balgowlah Heights,Good,,,,,,,
10155,Balgownie,Good,,,,,,,
10156,Balickera,Poor,,,,,,,
10157,Balladoran,Poor,,,,,,,
10158,Ballalaba,Poor,,,,,,,
10159,Balldale,Poor,,,,,,,
10160,Ballengarra,Poor,,,,,,,
10161,Ballimore,Good,,,,,,,
10162,Ballina,Good,,,,,,,
10163,Ballyroe,Poor,,,,,,,
10164,Balmain,Good,,,,,,,
10165,Balmain East,Good,,,,,,,
10166,Balmoral (Lake Macquarie - NSW),Good,,,,,,,
10167,Balmoral (Wingecarribee - NSW),Good,,,,,,,
10168,Balranald,Acceptable,,,,,,,
10169,Bamarang,Poor,,,,,,,
10170,Banda Banda,Poor,,,,,,,
10171,Bandon Grove,Poor,,,,,,,
10172,Bangadang,Poor,,,,,,,
10173,Bangalee (NSW),Acceptable,,,,,,,
10174,Bangalow,Acceptable,,,,,,,
10175,Bangheet,Poor,,,,,,,
10176,Bango,Poor,,,,,,,
10177,Bangor (NSW),Good,,,,,,,
10178,Banksia,Good,,,,,,,
10179,Banksmeadow,Good,,,,,,,
10180,Bankstown,Good,,,,,,,
10181,Bankstown Aerodrome,Good,,,,,,,
10182,Bannaby,Poor,,,,,,,
10183,Bannister (NSW),Poor,,,,,,,
10184,Banoon,Poor,,,,,,,
10185,Banora Point,Good,,,,,,,
10186,Banyabba,Poor,,,,,,,
10187,Bar Beach,Poor,,,,,,,
10188,Bar Point,Poor,,,,,,,
10189,Bara,Poor,,,,,,,
10190,Baradine,Good,,,,,,,
10191,Barangaroo,Poor,,,,,,,
10192,Barcoongere,Poor,,,,,,,
10193,Barden Ridge,Good,,,,,,,
10194,Bardia,Poor,,,,,,,
10195,Bardwell Park,Good,,,,,,,
10196,Bardwell Valley,Acceptable,,,,,,,
10197,Barellan,Poor,,,,,,,
10198,Bargo,Good,,,,,,,
10199,Barham,Good,,,,,,,
10200,Barigan,Poor,,,,,,,
10201,Barkers Vale,Poor,,,,,,,
10202,Barmedman,Good,,,,,,,
10203,Barneys Reef,Poor,,,,,,,
10204,Barnsley,Good,,,,,,,
10205,Barooga,Good,,,,,,,
10206,Barraba,Good,,,,,,,
10207,Barrack Heights,Good,,,,,,,
10208,Barrack Point,Good,,,,,,,
10209,Barraganyatti,Poor,,,,,,,
10210,Barragga Bay,Poor,,,,,,,
10211,Barratta (NSW),Poor,,,,,,,
10212,Barren Grounds,Poor,,,,,,,
10213,Barrengarry,Poor,,,,,,,
10214,Barretts Creek,Poor,,,,,,,
10215,Barringella,Poor,,,,,,,
10216,Barrington (NSW),Poor,,,,,,,
10217,Barrington Tops,Poor,,,,,,,
10218,Barry (Blayney - NSW),Poor,,,,,,,
10219,Barry (Upper Hunter Shire - NSW),Poor,,,,,,,
10220,Barwang,Poor,,,,,,,
10221,Barwon,Poor,,,,,,,
10222,Baryulgil,Poor,,,,,,,
10223,Basin View,Good,,,,,,,
10224,Bass Hill,Good,,,,,,,
10225,Bassendean (NSW),Poor,,,,,,,
10226,Batar Creek,Poor,,,,,,,
10227,Bateau Bay,Good,,,,,,,
10228,Batehaven,Good,,,,,,,
10229,Batemans Bay,Good,,,,,,,
10230,Bathampton,Poor,,,,,,,
10231,Bathurst,Good,,,,,,,
10232,Batlow,Good,,,,,,,
10233,Baulkham Hills,Good,,,,,,,
10234,Baw Baw (NSW),Poor,,,,,,,
10235,Bawley Point,Good,,,,,,,
10236,Baxters Ridge,Poor,,,,,,,
10237,Bayview (NSW),Acceptable,,,,,,,
10238,Beacon Hill,Good,,,,,,,
10239,Beaconsfield (NSW),Good,,,,,,,
10240,Bean Creek,Poor,,,,,,,
10241,Bearbong,Poor,,,,,,,
10242,Beaumont (NSW),Poor,,,,,,,
10243,Beaumont Hills,Good,,,,,,,
10244,Beckom,Poor,,,,,,,
10245,Bective,Poor,,,,,,,
10246,Bectric,Poor,,,,,,,
10247,Bedgerabong,Poor,,,,,,,
10248,Beechwood,Good,,,,,,,
10249,Beecroft,Good,,,,,,,
10250,Beecroft Peninsula,Good,,,,,,,
10251,Beelbangera,Good,,,,,,,
10252,Beemunnel,Poor,,,,,,,
10253,Bega,Good,,,,,,,
10254,Beggan Beggan,Poor,,,,,,,
10255,Belanglo,Poor,,,,,,,
10256,Belbora,Poor,,,,,,,
10257,Belfield,Good,,,,,,,
10258,Belford,Poor,,,,,,,
10259,Belfrayden,Poor,,,,,,,
10260,Belgravia,Poor,,,,,,,
10261,Belimbla Park,Good,,,,,,,
10262,Bell (NSW),Poor,,,,,,,
10263,Bella Vista,Good,,,,,,,
10264,Bellambi,Good,,,,,,,
10265,Bellangry,Poor,,,,,,,
10266,Bellata,Poor,,,,,,,
10267,Bellawongarah,Poor,,,,,,,
10268,Bellbird,Good,,,,,,,
10269,Bellbird Heights,Good,,,,,,,
10270,Bellbrook,Acceptable,,,,,,,
10271,Bellevue Hill,Good,,,,,,,
10272,Bellimbopinni,Poor,,,,,,,
10273,Bellingen,Good,,,,,,,
10274,Bellmount Forest,Poor,,,,,,,
10275,Belltrees,Poor,,,,,,,
10276,Belmont (NSW),Good,,,,,,,
10277,Belmont North,Acceptable,,,,,,,
10278,Belmont South,Good,,,,,,,
10279,Belmore,Good,,,,,,,
10280,Belmore River,Poor,,,,,,,
10281,Beloka,Poor,,,,,,,
10282,Belowra,Poor,,,,,,,
10283,Belrose,Good,,,,,,,
10284,Bemboka,Good,,,,,,,
10285,Ben Bullen,Poor,,,,,,,
10286,Ben Lomond (NSW),Poor,,,,,,,
10287,Benandarah,Poor,,,,,,,
10288,Bendalong,Poor,,,,,,,
